Wall time,Step,Value
1672431531,8389,17
1672431549,8404,4
1672431583,8436,4
1672431597,8448,4
1672431604,8454,4
1672431672,8516,15
1672431680,8523,16
1672431719,8560,5
1672431720,8562,3
1672431728,8570,5
1672431768,8610,6
1672431803,8640,8
1672431805,8642,6
1672431812,8648,8
1672431910,8730,5
1672431923,8741,9
1672431955,8777,5
1672431963,8784,4
1672431974,8793,8
1672432048,8859,7
1672432056,8865,12
1672432073,8879,4
1672432112,8904,10
1672432113,8905,3
1672432114,8906,14
1672432184,8954,13
1672432212,8970,12
1672432303,9030,7
1672432305,9031,13
1672432330,9047,10
1672432360,9068,18
1672432394,9089,17
1672432406,9098,7
1672432408,9099,17
1672432488,9150,14
1672432518,9168,8
1672432543,9183,7
1672432595,9212,26
1672432615,9223,15
1672432621,9227,10
1672432672,9262,7
1672432681,9267,10
1672432734,9302,29
1672432969,9444,13
1672433180,9560,14
1672433208,9576,12
1672433264,9607,9
1672433271,9611,25
1672433275,9613,15
1672433381,9672,15
1672433442,9704,19
1672433536,9753,12
1672433845,9910,17
1672433890,9933,13
1672434036,10005,20
1672434053,10013,22
1672434238,10098,19
1672434260,10109,12
1672434265,10111,29
1672434409,10182,13
1672434414,10184,31
1672434466,10209,21
1672434564,10257,18
1672434695,10317,35
1672434716,10326,35
1672434778,10355,22
1672434818,10372,43
1672434870,10397,21
1672434881,10403,20
1672434969,10445,21
1672435001,10460,39
1672435192,10547,15
1672435271,10582,22
1672435281,10587,19
1672435571,10715,22
1672435574,10717,18
1672435773,10804,23
1672435820,10823,34
1672435824,10825,27
1672436136,10963,35
1672436153,10971,28
1672436191,10988,24
1672436227,11006,26
1672436257,11019,20
1672436299,11038,22
1672436321,11047,29
1672436323,11048,23
1672436379,11073,42
1672436388,11077,30
1672436451,11105,26
1672436462,11110,20
1672436491,11123,26
1672436567,11160,18
1672436682,11216,21
1672436722,11234,18
1672436765,11255,29
1672436774,11259,40
1672436841,11292,23
1672436882,11311,20
1672436999,11361,17
1672437026,11372,24
1672437044,11380,28
1672437069,11391,33
1672437079,11396,27
1672437159,11431,17
1672437208,11453,15
1672437239,11466,17
1672437246,11469,24
1672437427,11550,22
1672437452,11562,12
1672437478,11574,14
1672437591,11624,11
1672437622,11639,21
1672437685,11669,26
1672437698,11674,20
1672437718,11683,24
1672437725,11686,16
1672437744,11695,29
1672437757,11700,26
1672437859,11745,24
1672437914,11770,9
1672437933,11778,16
1672437939,11781,17
1672438001,11807,27
1672438027,11819,15
1672438086,11842,28
1672438152,11870,24
1672438190,11885,27
1672438269,11918,13
1672438280,11923,24
1672438305,11935,24
1672438320,11942,28
1672438332,11947,27
1672438586,12103,10
1672438721,12176,14
1672438821,12225,25
1672438838,12234,15
1672438842,12236,18
1672438886,12256,16
1672438931,12276,30
1672438983,12301,29
1672439174,12389,18
1672439269,12432,26
1672439401,12488,15
1672439487,12524,19
1672439588,12570,29
1672439645,12596,21
1672439660,12603,30
1672439689,12616,24
1672439726,12632,33
1672439734,12636,16
1672439739,12638,24
